Team,Avril LaGreen,SWAg,Mediokra,MAGA,Cheerwine?,Blue Ridge,ThunderPants,Victorious Secret,US!,Vanilla Whoopass,deR,Purple Reign,Rubber Huckies,Call Me Navy
Rank,,,,,,,,,,,,,,
G0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G1,11,8,2,5,-1,1,-2,-5,1,-11,-8,5,-5,-1
G2,14,13,7,0,5,4,-5,-8,-5,-8,4,-7,-8,-6
G3,33,15,9,17,13,2,-4,-6,-7,-10,-15,-24,-9,-14
G4,,,,,,,,,,,,,,
G5,,,,,,,,,,,,,,
G6,,,,,,,,,,,,,,
G7,,,,,,,,,,,,,,
G8,,,,,,,,,,,,,,
G9,,,,,,,,,,,,,,
G10,,,,,,,,,,,,,,
G11,,,,,,,,,,,,,,
G12,,,,,,,,,,,,,,
