Team,Avril LaGreen,SWAg,Mediokra,MAGA,Cheerwine?,Blue Ridge,ThunderPants,Victorious Secret,US!,Vanilla Whoopass,deR,Purple Reign,Rubber Huckies,Call Me Navy
Rank,1,2,3,4,5,6,7,8,9,10,11,12,13,14
G0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G1,11,8,2,5,-1,1,-2,-5,1,-11,-8,5,-5,-1
G2,3,5,5,-5,6,3,-3,-3,-6,3,12,-12,-3,-5
G3,19,2,2,17,8,-2,1,2,-2,-2,-19,-17,-1,-8
G4,,,,,,,,,,,,,,
G5,,,,,,,,,,,,,,
G6,,,,,,,,,,,,,,
G7,,,,,,,,,,,,,,
G8,,,,,,,,,,,,,,
G9,,,,,,,,,,,,,,
G10,,,,,,,,,,,,,,
G11,,,,,,,,,,,,,,
G12,,,,,,,,,,,,,,
